row,task_for,seg_id,stname,lanes,divided_roadway,bike_lane_type_simple,parking,sidewalk_status,check_year,curb_to_curb_width,traffic_lanes_width,shoulder_width,notes
127,Demi,760582,OXFORD AVE,3,FALSE,Painted,Both sides,Both sides,,60,35,0,
128,Demi,761299,BRIDGE ST,3,FALSE,None,None,Both sides,,26,26,0,
129,Demi,660914,COMLY ST,2,FALSE,None,None,Both sides,,34,20,0,
130,Demi,760025,LONGSHORE AVE,3,FALSE,None,None,Both sides,,27,27,0,
131,Demi,621105,RIDGE AVE,2,FALSE,None,Both sides,Both sides,,35,26,0,
132,Demi,621418,KELLY DR,2,FALSE,None,None,One side,,29,24,5,
133,Demi,621417,KELLY DR,2,FALSE,None,None,One side,,25,21,4,
134,Demi,621945,RIDGE AVE,3,FALSE,Sharrow,One side,Both sides,,35,20,0,
135,Demi,621972,RIDGE AVE,3,FALSE,Sharrow,None,One side,,38,28,0,
136,Demi,621427,RIDGE AVE,2,FALSE,Sharrow,Both sides,Both sides,,35,20,0,
137,Demi,621188,W ALLEGHENY AVE,2,FALSE,Painted,Both sides,Both sides,2022,51,20,0,There were painted bike lane since at least 2004
138,Demi,621969,ROBERTS AVE,3,FALSE,None,None,Both sides,,45,28,9,
139,Demi,621867,FOX ST,3,FALSE,None,None,Both sides,,45,38,10,
140,Demi,621261,WISSAHICKON AVE,4,FALSE,None,None,Both sides,,57,40,14,
141,Demi,621246,W HUNTING PARK AVE,4,FALSE,None,Both sides,Both sides,,62,45,7,
142,Demi,621218,W ERIE AVE,2,FALSE,Painted,Both sides,Both sides,,52,24,0,
143,Demi,620349,GERMANTOWN AVE,2,TRUE,None,None,Both sides,,40,28,0,
144,Demi,640963,W LYCOMING ST,4,FALSE,Painted,Both sides,One side,,45,25,0,
145,Demi,640902,N FRONT ST,3,FALSE,None,One side,Both sides,,50,40,0,
146,Demi,642653,W LUZERNE ST,2,FALSE,None,None,Both sides,,52,52,0,Half 52 feet half 41 feet
147,Demi,641481,E ERIE AVE,2,TRUE,None,One side,Both sides,,61,24,0,
148,Demi,640862,E CAYUGA ST,2,FALSE,Painted,Both sides,Both sides,,48,22,0,
149,Demi,641455,E ERIE AVE,2,TRUE,None,Both sides,Both sides,,61,24,0,
150,Demi,641384,KENSINGTON AVE,2,FALSE,Painted,One side,Both sides,,48,20,0,
151,Demi,641299,FRANKFORD AVE,2,FALSE,Painted,Both sides,Both sides,,46,22,0,
152,Demi,660833,ADAMS AVE,3,FALSE,None,None,One side,,38,38,0,
153,Demi,660285,ORTHODOX ST,1,FALSE,Sharrow,Both sides,Both sides,,30,14,0,
154,Demi,660292,MARGARET ST,1,FALSE,None,One side,One side,,26,20,6,
155,Demi,660919,MARGARET ST,1,FALSE,None,None,Both sides,,26,13,0,
156,Demi,660705,BRIDGE ST,2,FALSE,None,One side,Both sides,,26,20,0,
157,Demi,660012,TACONY ST,4,FALSE,None,None,One side,,48,48,0,
158,Demi,500101,MONUMENT RD,2,FALSE,None,None,Both sides,,35,22,13,
159,Demi,522420,STRAWBERRY MANSION BRG,2,FALSE,None,None,Both sides,,34,30,4,
160,Demi,521318,RIDGE AVE,2,FALSE,Sharrow,Both sides,Both sides,,35,20,0,
161,Demi,521382,W HUNTING PARK AVE,2,FALSE,None,None,One side,,28,20,4,
162,Demi,521654,W LEHIGH AVE,2,FALSE,Painted,Both sides,Both sides,,54,20,0,
163,Demi,621234,FOX ST,2,FALSE,None,None,Both sides,,36,36,0,
164,Demi,520689,N 22ND ST,2,FALSE,None,Both sides,Both sides,,34,20,0,
