seg_id,st_name,st_type,class,responsibl,full_street_name,full_street_name_clean,total_crashes,crashes_2020,crashes_2021,crashes_2022,crashes_2023,crashes_2024,ksi_crashes,fatal_crashes,serious_inj,minor_inj,poss_inj,pdo_crashes,ped_crashes,bike_crashes,vru_crashes,speeding,alcohol,dark,peak_crash,offpk_crash,am_peak,pm_peak,midday,evening,night,weekend,weekday,spd_lim_md,lane_ct_md,ksi_rate,fatal_rate,ped_rate,bike_rate,vru_rate,spd_rate,alc_rate,dark_rate,offpk_share,wknd_share,crash_py,ksi_py
420037,23RD,ST,4,CITY,23RD ST,23RD ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420038,THOMPSON,ST,4,CITY,THOMPSON ST,THOMPSON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420039,PARKSIDE,AVE,3,STATE,PARKSIDE AVE,PARKSIDE AVE,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,35,0,0,0,0,0,0,0,0,100,100,0,0.2,0
420040,28TH,ST,4,CITY,28TH ST,28TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420041,COLLEGE,AVE,3,CITY,COLLEGE AVE,COLLEGE AVE,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,2,30,2,0,0,0,0,0,0,0,100,100,0,0.4,0
420042,22ND,ST,3,CITY,22ND ST,22ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420044,THOMPSON,ST,4,CITY,THOMPSON ST,THOMPSON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420045,28TH,ST,4,CITY,28TH ST,28TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420046,33RD,ST,3,STATE,33RD ST,33RD ST,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,25,3,100,0,100,0,100,0,0,100,100,100,0.2,0.2
420047,GIRARD,AVE,2,STATE,GIRARD AVE,GIRARD AVE,10,3,3,2,2,0,1,0,1,2,3,1,0,0,0,2,0,5,0,10,0,0,2,1,2,3,7,25,2,10,0,0,0,0,20,0,50,100,30,2,0.2
420048,19TH,ST,4,CITY,19TH ST,19TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420049,GIRARD,AVE,2,STATE,GIRARD AVE,GIRARD AVE,13,6,3,3,0,1,1,0,1,5,2,2,0,0,0,1,0,6,2,11,0,2,2,3,4,6,7,25,2,7.6923076923076925,0,0,0,0,7.6923076923076925,0,46.15384615384615,84.61538461538461,46.15384615384615,2.6,0.2
420050,COLLEGE,AVE,3,CITY,COLLEGE AVE,COLLEGE AVE,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,30,0,0,0,100,0,100,0,0,0,0,0,0.2,0
420051,23RD,ST,4,CITY,23RD ST,23RD ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420052,41ST ST,DR,3,FAIRMOUNT PARK,41ST ST DR,41ST ST DR,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,25,0,100,0,0,0,0,0,0,0,100,0,0.2,0.2
420053,PARKSIDE,AVE,3,STATE,PARKSIDE AVE,PARKSIDE AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420054,18TH,ST,4,CITY,18TH ST,18TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420055,SEYBERT,ST,5,CITY,SEYBERT ST,SEYBERT ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420056,41ST ST,DR,3,FAIRMOUNT PARK,41ST ST DR,41ST ST DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420057,PARKSIDE,AVE,3,STATE,PARKSIDE AVE,PARKSIDE AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420058,MEMORIAL,AVE,5,CITY,MEMORIAL AVE,MEMORIAL AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420059,28TH,ST,4,CITY,28TH ST,28TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420060,COLLEGE,AVE,3,CITY,COLLEGE AVE,COLLEGE AVE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0.2,0
420061,24TH,ST,4,CITY,24TH ST,24TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
